syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_last,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
syrupcorrect,0,0,2,8,10,9,10,10,10,10,10,9,8,9,5,4,1,0,0,0,0
burst-correct,0,0,0,3,7,8,9,10,9,10,10,9,10,10,10,10,10,10,10,10,10
smyth-correct,0,0,0,0,3,4,7,6,6,9,10,9,10,10,10,10,10,10,10,10,10
smyth-rec-correct,0,0,0,2,6,6,7,8,8,10,10,9,10,10,10,10,10,10,10,10,10
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,3,5,3,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
syruptime,0,0.0052,0.024999999999999998,0.1347,0.3045,0.5273000000000001,1.1994999999999998,2.4896000000000003,8.2237,20.951300000000003,140.9593,108.63300000000001,157.6698,195.53470000000002,230.013,214.1889,23.8892,0,0,0,0
burst-time,0,0.4227,2.3174,3.596,78.30730000000001,4.2311,3.3818,47.70430000000001,1.1277000000000001,1.1136,2.8063,1.3458999999999999,7.6565,0.7403,1.7936999999999999,1.5495,0.8877000000000002,1.0859,0.9400999999999999,3.986,0.7608999999999999
smyth-time,0,0.01796200000058,0.01688400000035,0.07111099999997,0.06226900000003,0.09443799999982999,0.05128000000014,0.06545800000029,0.060993999999709995,0.07745199999999,0.07645899999988,0.06991500000026,0.07783499999983,0.08217399999988,0.07927000000017999,0.09414400000011,0.0818140000001,0.09866300000016,0.08277299999986,0.09717900000027,0.08376599999973999
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,6,9,10,10,10,10
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_take,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
syrupcorrect,0,0,1,4,3,5,4,4,2,2,1,0,2,1,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,0,5,4,6,6,6,8,6,10,9,10,9,10,10,10,10
smyth-rec-correct,0,0,0,0,0,2,6,6,7,7,8,8,8,10,9,10,9,10,10,10,10
burst-sof,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,3,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,3,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
syruptime,0,0.0667,0.6347999999999999,3.5980000000000003,5.3668000000000005,31.380000000000003,67.3166,3.1550000000000007,49.8395,176.0776,38.8132,106.4562,36.6522,72.8275,0,0,0,0,0,0,0
