cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
smyth-time,0,0.00638399999979,0.00534099999982,0.00325500000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_hd,,,,,,,,,,,,,,,,,,,,,
count,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0174,0.009899999999999999,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.017599999999999998,0.010199999999999999,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.003,0.007299999999999999,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.00646499999994,0.00521000000003,0.0029669999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_tl,,,,,,,,,,,,,,,,,,,,,
count,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0019,0.0021,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0021,0.0023,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0044,0.0115,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.00595199999998,0.00499999999988,0.002792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_last,,,,,,,,,,,,,,,,,,,,,
count,0,6,10,10,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,2,8,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,2,4,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0026,0.039400000000000004,0.11099999999999999,0.19470000000000004,0.1436,0.0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0031,0.0367,0.09709999999999999,0.14780000000000001,0.122,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.1558,1.1843,1.0153,0.17720000000000002,0.0903,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.011042000000079998,0.021281000000039997,0.07667000000012,0.03999400000022,0.03373800000009,0.00670799999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_take,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0
syrup-correct,0,0,1,4,2,9,8,9,10,10,10,10,1,0,0,0,0,0,0,0,0
naive-correct,0,0,1,0,2,9,9,8,10,10,10,10,1,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,1,1,0,3,8,9,10,1,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,1,8,7,7,10,10,10,10,1,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,1,9,7,8,10,10,10,10,1,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.032100000000000004,0.2668,1.075,0.7765999999999998,4.0007,4.062399999999999,3.8697000000000004,3.4401,1.7551999999999999,1.1107000000000002,0.944,0.0566,0,0,0,0,0,0,0,0
naive-time,0,0.032999999999999995,0.26990000000000003,1.0560999999999998,0.7763,4.227399999999999,4.1236,3.9208999999999996,3.4145999999999996,1.7228999999999997,1.1024,0.9407000000000001,0.0613,0,0,0,0,0,0,0,0
burst-time,0,4.3237000000000005,20.7696,8.647300000000001,30.1077,3.0962,58.68119999999999,74.0403,161.97410000000002,111.42129999999999,41.529900000000005,9.4959,0.1434,0,0,0,0,0,0,0,0
smyth-time,0,0.04162099999986,0.042400000000259994,1.4882019999999598,1.43569500000029,0.29284099999999996,0.34040999999960003,1.7091810000001,0.46263499999980007,0.5033780000004,0.5395079999998,0.6475710000000999,0.0699890000001,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,1,1,2,4,7,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_drop,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,6,6,6,6,8,7,9,1,0,0,0,0,0,0,0,0,0
naive-correct,0,0,0,1,7,4,5,6,8,6,9,1,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,2,1,4,4,7,5,9,1,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,2,1,6,4,9,8,10,1,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0166,0.0235,0.2056,0.9636,1.0599,1.7499,2.3167,1.3751,1.3241000000000003,0.8609000000000001,0.0628,0,0,0,0,0,0,0,0,0
naive-time,0,0.0177,0.023999999999999997,0.1939,0.9769000000000001,1.0530000000000002,1.7524999999999997,2.2823,1.3814,1.2973,0.8573,0.064,0,0,0,0,0,0,0,0,0
burst-time,0,0.0568,0.8999,35.884100000000004,82.64370000000001,32.3108,55.0484,9.3755,6.992500000000001,3.1526,1.7682999999999998,0.083,0,0,0,0,0,0,0,0,0
smyth-time,0,0.03897300000041,0.041097000000040004,0.06444299999976,0.12945599999985,0.07401599999994,0.21882800000011,0.4096849999997,0.55430100000015,0.634234,0.8199240000003001,0.102742,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_nth,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0
syrup-correct,0,0,1,2,1,5,4,7,5,7,7,8,10,1,0,0,0,0,0,0,0
naive-correct,0,0,1,2,3,4,4,4,3,4,6,5,4,0,0,0,0,0,0,0,0
burst-correct,0,0,0,0,0,0,1,3,4,7,7,8,10,1,0,0,0,0,0,0,0
smyth-correct,0,0,0,0,0,1,5,6,8,10,10,10,10,1,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,1,5,9,9,10,10,10,10,1,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
